country,country_label,planetarium_name,google_maps_link,translated_planetarium_name,iso_match_name,iso_alpha_2,iso_alpha_3,official_name
Brazil,Brazil 29,Planetário de Campinas,"https://www.google.com/maps?q=-22.8758487,-47.0581591",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 30,Planetário de Sobral,"https://www.google.com/maps?q=-3.6887635,-40.3553428",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 31,Planetário de Vitória,"https://www.google.com/maps?q=-20.277607,-40.3071052",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 32,Planetário de Volta Redonda,"https://www.google.com/maps?q=-22.5165204,-44.0939887",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 33,Planetário do Carmo,"https://www.google.com/maps?q=-23.5770014,-46.4594402",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 34,Planetário do Carmo,"https://www.google.com/maps?q=-23.5769314,-46.4594513",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 35,Planetário do Colégio Estadual do Paraná,"https://www.google.com/maps?q=-25.4230644,-49.266397",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 36,Planetário do Ibirapuera,"https://www.google.com/maps?q=-23.5845215,-46.6609213",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 37,Planetário do bósque,"https://www.google.com/maps?q=-5.9247413,-35.2654596",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 38,Planetário e Teatro Digital Johannes Kepler,"https://www.google.com/maps?q=-23.6789184,-46.5307715",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 39,UFG - Planetário,"https://www.google.com/maps?q=-16.6630708,-49.2536639",,Brazil,BR,BRA,Federative Republic of Brazil
Bulgaria,Bulgaria 1,Планетариум,"https://www.google.com/maps?q=42.8740429,25.3276175",,Bulgaria,BG,BGR,Republic of Bulgaria
Bulgaria,Bulgaria 2,Планетариум,"https://www.google.com/maps?q=41.5759377,24.7087044",,Bulgaria,BG,BGR,Republic of Bulgaria
Bulgaria,Bulgaria 3,Планетариум ВВМУ,"https://www.google.com/maps?q=43.2119463,27.9315521",,Bulgaria,BG,BGR,Republic of Bulgaria
Bulgaria,Bulgaria 4,Планетариум Джордано Бруно,"https://www.google.com/maps?q=42.0459632,25.5780253",,Bulgaria,BG,BGR,Republic of Bulgaria
Bulgaria,Bulgaria 5,Планетатиум ПланетУМ,"https://www.google.com/maps?q=42.4844826,27.482602",,Bulgaria,BG,BGR,Republic of Bulgaria
Canada,Canada 1,ASTROLab,"https://www.google.com/maps?q=45.4233239,-71.1259568",,Canada,CA,CAN,Canada
Canada,Canada 2,Lockhart Planetarium,"https://www.google.com/maps?q=49.8113191,-97.1313383",,Canada,CA,CAN,Canada
Canada,Canada 3,Margaret Zeidler Star Theatre,"https://www.google.com/maps?q=53.5608355,-113.5634833",,Canada,CA,CAN,Canada
Canada,Canada 4,Planétarium Rio Tinto Alcan,"https://www.google.com/maps?q=45.5606507,-73.5505636",,Canada,CA,CAN,Canada
Canada,Canada 5,Queen Elizabeth II Planetarium,"https://www.google.com/maps?q=53.5621386,-113.560499",,Canada,CA,CAN,Canada
Chile,Chile 1,Centro Astronómico Tagua Tagua,"https://www.google.com/maps?q=-34.3755594,-71.0762931",,Chile,CL,CHL,Republic of Chile
Chile,Chile 2,Museo Interactivo de Astronomía,"https://www.google.com/maps?q=-33.5201899,-70.6144908",,Chile,CL,CHL,Republic of Chile
Chile,Chile 3,No-Name,"https://www.google.com/maps?q=-33.3747792,-70.6348588",,Chile,CL,CHL,Republic of Chile
Chile,Chile 4,Observatorio Cruz Del Sur,"https://www.google.com/maps?q=-31.2008592,-71.0002116",,Chile,CL,CHL,Republic of Chile
Chile,Chile 5,Observatorio Cruz Del Sur,"https://www.google.com/maps?q=-31.2008919,-71.0000949",,Chile,CL,CHL,Republic of Chile
Chile,Chile 6,Planetario,"https://www.google.com/maps?q=-33.4503516,-70.6813604",,Chile,CL,CHL,Republic of Chile
Chile,Chile 7,Planetario Chile,"https://www.google.com/maps?q=-33.4503446,-70.6814132",,Chile,CL,CHL,Republic of Chile
China,China 1,No-Name,"https://www.google.com/maps?q=39.9360123,116.3303252",,China,CN,CHN,People's Republic of China
China,China 2,No-Name,"https://www.google.com/maps?q=30.4693542,119.5976578",,China,CN,CHN,People's Republic of China
China,China 3,No-Name,"https://www.google.com/maps?q=30.4686897,119.5971546",,China,CN,CHN,People's Republic of China
China,China 4,No-Name,"https://www.google.com/maps?q=32.5209394,120.1504309",,China,CN,CHN,People's Republic of China
China,China 5,No-Name,"https://www.google.com/maps?q=35.7888151,118.6468016",,China,CN,CHN,People's Republic of China
China,China 6,上海天文馆 (上海Planetarium),"https://www.google.com/maps?q=30.9151673,121.9223871",,China,CN,CHN,People's Republic of China
China,China 7,上海天文馆 (上海Planetarium),"https://www.google.com/maps?q=30.9145215,121.9217931",,China,CN,CHN,People's Republic of China
China,China 8,包头市科技馆 (包头市Science & Technology Museum Planetarium),"https://www.google.com/maps?q=40.622225,109.9212946",,China,CN,CHN,People's Republic of China
China,China 9,北京天文馆 (北京Planetarium),"https://www.google.com/maps?q=39.9359608,116.3303526",,China,CN,CHN,People's Republic of China
China,China 10,北京天文馆 (北京Planetarium),"https://www.google.com/maps?q=39.9356769,116.3308878",,China,CN,CHN,People's Republic of China
China,China 11,南宁市科技馆 (南宁市Science & Technology Museum Planetarium),"https://www.google.com/maps?q=22.8084644,108.4055619",,China,CN,CHN,People's Republic of China
China,China 12,地院天文馆 (地院Planetarium),"https://www.google.com/maps?q=19.9760007,110.507262",,China,CN,CHN,People's Republic of China
China,China 13,墨江天文馆 (墨江Planetarium),"https://www.google.com/maps?q=23.4335855,101.6813487",,China,CN,CHN,People's Republic of China
China,China 14,大足科技馆 (大足Science & Technology Museum Planetarium),"https://www.google.com/maps?q=29.6746657,105.7359953",,China,CN,CHN,People's Republic of China
China,China 15,天象厅,"https://www.google.com/maps?q=40.0097969,116.4709934",,China,CN,CHN,People's Republic of China
China,China 16,天象廳 Space Theatre,"https://www.google.com/maps?q=22.2942681,114.1720098",,China,CN,CHN,People's Republic of China
China,China 17,天象館 (天象Hall),"https://www.google.com/maps?q=26.0673422,119.3226384",,China,CN,CHN,People's Republic of China
China,China 18,天象馆 (天象Hall),"https://www.google.com/maps?q=30.8366391,121.5083781",,China,CN,CHN,People's Republic of China
China,China 19,少年宫天文馆 (Children’s PalacePlanetarium),"https://www.google.com/maps?q=33.7327672,113.2925395",,China,CN,CHN,People's Republic of China
China,China 20,常德科技/天文馆 (常德科技/Planetarium),"https://www.google.com/maps?q=29.0553239,111.6707786",,China,CN,CHN,People's Republic of China
China,China 21,平塘国际天文体验馆 (平塘国际天文体验Hall),"https://www.google.com/maps?q=25.6977059,106.8866384",,China,CN,CHN,People's Republic of China
China,China 22,平顶山市科技馆 (平顶山市Science & Technology Museum Planetarium),"https://www.google.com/maps?q=33.7848362,113.1453868",,China,CN,CHN,People's Republic of China
China,China 23,广州六中天象臺,"https://www.google.com/maps?q=23.1000616,113.3010308",,China,CN,CHN,People's Republic of China
China,China 24,广州大学天象馆 (广州University天象Hall),"https://www.google.com/maps?q=23.0401682,113.3633473",,China,CN,CHN,People's Republic of China
China,China 25,星海天文,"https://www.google.com/maps?q=30.543009,104.3173289",,China,CN,CHN,People's Republic of China
China,China 26,武威市科技馆 (武威市Science & Technology Museum Planetarium),"https://www.google.com/maps?q=37.94001,102.6184413",,China,CN,CHN,People's Republic of China
Colombia,Colombia 1,No-Name,"https://www.google.com/maps?q=4.7927265,-75.6887409",,Colombia,CO,COL,Republic of Colombia
Colombia,Colombia 2,Observatorio de la Av Cali,"https://www.google.com/maps?q=4.6967468,-74.1051631",,Colombia,CO,COL,Republic of Colombia
Colombia,Colombia 3,Planetario Combarranquilla,"https://www.google.com/maps?q=10.9869115,-74.7995165",,Colombia,CO,COL,Republic of Colombia
Colombia,Colombia 4,Planetario Grupo Halley UIS,"https://www.google.com/maps?q=7.1392034,-73.1211544",,Colombia,CO,COL,Republic of Colombia
Colombia,Colombia 5,Planetario UIS,"https://www.google.com/maps?q=7.1394135,-73.1206905",,Colombia,CO,COL,Republic of Colombia
Colombia,Colombia 6,Planetario de Bogotá,"https://www.google.com/maps?q=4.6120661,-74.0688228",,Colombia,CO,COL,Republic of Colombia
Colombia,Colombia 7,Planetario de Medellín,"https://www.google.com/maps?q=6.2689919,-75.5661052",,Colombia,CO,COL,Republic of Colombia
Colombia,Colombia 8,Planetario del Sur,"https://www.google.com/maps?q=4.4999338,-74.1172476",,Colombia,CO,COL,Republic of Colombia
Costa Rica,Costa Rica 1,Planetario de San José,"https://www.google.com/maps?q=9.9369264,-84.0451865",,Costa Rica,CR,CRI,Republic of Costa Rica
Costa Rica,Costa Rica 2,Planetario de San José,"https://www.google.com/maps?q=9.9369352,-84.0451885",,Costa Rica,CR,CRI,Republic of Costa Rica
Cuba,Cuba 1,No-Name,"https://www.google.com/maps?q=23.1361943,-82.3497226",,Cuba,CU,CUB,Republic of Cuba
Czechia,Czechia 1,3D Planetárium,"https://www.google.com/maps?q=49.7394388,13.3624797",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 2,Digitální planetárium,"https://www.google.com/maps?q=50.1773129,15.8394511",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 3,Hvězdárna,"https://www.google.com/maps?q=49.4472278,17.4797219",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 4,Hvězdárna,"https://www.google.com/maps?q=50.2289556,17.2065211",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 5,Hvězdárna Rokycany,"https://www.google.com/maps?q=49.7516823,13.6026957",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 6,Hvězdárna Rtyně v Podkrkonoší,"https://www.google.com/maps?q=50.5086976,16.0961038",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 7,Hvězdárna Veselí nad Moravou,"https://www.google.com/maps?q=48.9541422,17.3702015",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 8,Hvězdárna a Planetárium Ostrava,"https://www.google.com/maps?q=49.8373651,18.1449335",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 9,Hvězdárna a planetárium Brno,"https://www.google.com/maps?q=49.20471,16.5837423",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 10,"Miniplanetarium und Kuppelkino ""Sternenscheune""","https://www.google.com/maps?q=50.9562681,14.6544328",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 11,No-Name,"https://www.google.com/maps?q=50.1983669,15.9393914",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 12,No-Name,"https://www.google.com/maps?q=50.4343461,15.3405577",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 13,No-Name,"https://www.google.com/maps?q=50.1772469,15.8391353",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 14,Planetárium,"https://www.google.com/maps?q=49.0260934,17.646572",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 15,Planetárium,"https://www.google.com/maps?q=50.10552,14.4275109",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 16,Planetárium,"https://www.google.com/maps?q=50.645491,13.8523884",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 17,Unisféra,"https://www.google.com/maps?q=49.9351436,17.896596",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 18,Zámecká hvězdárna,"https://www.google.com/maps?q=49.3322109,17.5841065",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 19,hvězdárna,"https://www.google.com/maps?q=49.4637507,17.9736649",,Czech Republic,CZ,CZE,Czech Republic
Czechia,Czechia 20,Ždánická hvězdárna a planetárium Oldřicha Kotíka,"https://www.google.com/maps?q=49.0657379,17.0378584",,Czech Republic,CZ,CZE,Czech Republic
Denmark,Denmark 1,Tycho Brahe Planetarium,"https://www.google.com/maps?q=55.6745208,12.5579993",,Denmark,DK,DNK,Kingdom of Denmark
Ecuador,Ecuador 1,Centro Cultural Pedro Vicente Maldonado,"https://www.google.com/maps?q=-0.2142875,-78.4943908",,Ecuador,EC,ECU,Republic of Ecuador
Ecuador,Ecuador 2,No-Name,"https://www.google.com/maps?q=-0.2205469,-78.5141684",,Ecuador,EC,ECU,Republic of Ecuador
Ecuador,Ecuador 3,No-Name,"https://www.google.com/maps?q=-0.1468862,-78.5072501",,Ecuador,EC,ECU,Republic of Ecuador
Ecuador,Ecuador 4,Planetario,"https://www.google.com/maps?q=-2.9052181,-79.0041169",,Ecuador,EC,ECU,Republic of Ecuador
Ecuador,Ecuador 5,Planetario de la Armada,"https://www.google.com/maps?q=-2.2707605,-79.9010392",,Ecuador,EC,ECU,Republic of Ecuador
Estonia,Estonia 1,No-Name,"https://www.google.com/maps?q=58.3025818,24.5897654",,Estonia,EE,EST,Republic of Estonia
Finland,Finland 1,Heurekan planetaario,"https://www.google.com/maps?q=60.2875972,25.0399754",,Finland,FI,FIN,Republic of Finland
Finland,Finland 2,Planetaario,"https://www.google.com/maps?q=61.5048065,23.7428027",,Finland,FI,FIN,Republic of Finland
Finland,Finland 3,Tuorlan Planetaario,"https://www.google.com/maps?q=60.4154262,22.4442473",,Finland,FI,FIN,Republic of Finland
France,France 1,Association Astronomique Véga de la Lyre,"https://www.google.com/maps?q=44.876904,-0.3136865",,France,FR,FRA,French Republic
France,France 2,Chocs Cosmiques,"https://www.google.com/maps?q=46.6686141,0.3651058",,France,FR,FRA,French Republic
France,France 3,Coupole d'astronomie,"https://www.google.com/maps?q=47.395127,0.9745795",,France,FR,FRA,French Republic
France,France 4,Le PLUS,"https://www.google.com/maps?q=50.9961613,2.3661246",,France,FR,FRA,French Republic
France,France 5,Le Planétarium,"https://www.google.com/maps?q=46.6289246,-0.6598061",,France,FR,FRA,French Republic
France,France 6,Le Planétarium,"https://www.google.com/maps?q=48.8950629,2.3871781",,France,FR,FRA,French Republic
France,France 7,No-Name,"https://www.google.com/maps?q=47.8930229,-1.5060637",,France,FR,FRA,French Republic
France,France 8,No-Name,"https://www.google.com/maps?q=43.4696057,-1.5561102",,France,FR,FRA,French Republic
France,France 9,No-Name,"https://www.google.com/maps?q=44.4377368,2.5136584",,France,FR,FRA,French Republic
France,France 10,No-Name,"https://www.google.com/maps?q=43.3055743,5.3948879",,France,FR,FRA,French Republic
France,France 11,No-Name,"https://www.google.com/maps?q=48.9472364,2.4345676",,France,FR,FRA,French Republic
France,France 12,Planet Ocean Montpellier,"https://www.google.com/maps?q=43.6031876,3.9166007",,France,FR,FRA,French Republic
France,France 13,Planetarium du Moulin du Ligoret,"https://www.google.com/maps?q=47.2239792,0.8299731",,France,FR,FRA,French Republic
France,France 14,Planète Tarn,"https://www.google.com/maps?q=43.7203642,2.3407786",,France,FR,FRA,French Republic
France,France 15,Planétarium,"https://www.google.com/maps?q=47.5921375,3.6307582",,France,FR,FRA,French Republic
France,France 16,Planétarium,"https://www.google.com/maps?q=43.1478016,2.9711159",,France,FR,FRA,French Republic
France,France 17,Planétarium,"https://www.google.com/maps?q=43.5640302,1.4811737",,France,FR,FRA,French Republic
France,France 18,Planétarium,"https://www.google.com/maps?q=43.5862832,1.4916213",,France,FR,FRA,French Republic
France,France 19,Planétarium,"https://www.google.com/maps?q=43.9072195,5.7265933",,France,FR,FRA,French Republic
France,France 20,Planétarium,"https://www.google.com/maps?q=45.8145894,2.9416072",,France,FR,FRA,French Republic
France,France 21,Planétarium (Espace Mendes France),"https://www.google.com/maps?q=46.579918,0.3482237",,France,FR,FRA,French Republic
France,France 22,Planétarium Hubert Curien,"https://www.google.com/maps?q=47.3203106,5.0266164",,France,FR,FRA,French Republic
France,France 23,Planétarium Hubert Reeves,"https://www.google.com/maps?q=43.9203593,0.8196033",,France,FR,FRA,French Republic
France,France 24,Planétarium Marc Bertin,"https://www.google.com/maps?q=47.6408597,6.8652086",,France,FR,FRA,French Republic
France,France 25,Planétarium Orionis,"https://www.google.com/maps?q=50.4097922,3.13146",,France,FR,FRA,French Republic
France,France 26,Planétarium Peiresc,"https://www.google.com/maps?q=43.532966,5.4251567",,France,FR,FRA,French Republic
France,France 27,Planétarium de Bretagne,"https://www.google.com/maps?q=48.7830555,-3.5271585",,France,FR,FRA,French Republic
France,France 28,Planétarium de Nantes,"https://www.google.com/maps?q=47.2022374,-1.5775216",,France,FR,FRA,French Republic
France,France 29,Planétarium de Reims,"https://www.google.com/maps?q=49.2425872,4.0153884",,France,FR,FRA,French Republic
France,France 30,Planétarium de Saint-Étienne,"https://www.google.com/maps?q=45.427785,4.4027109",,France,FR,FRA,French Republic
France,France 31,Planétarium de Vaulx-en-Velin,"https://www.google.com/maps?q=45.778016,4.921911",,France,FR,FRA,French Republic
France,France 32,Planétarium de l'Espace des sciences,"https://www.google.com/maps?q=48.1051262,-1.6751035",,France,FR,FRA,French Republic
France,France 33,Planétarium du Jardin des sciences,"https://www.google.com/maps?q=48.5832366,7.7638927",,France,FR,FRA,French Republic
France,France 34,Salle polyvalente,"https://www.google.com/maps?q=45.1892391,5.7547359",,France,FR,FRA,French Republic
France,France 35,Sidérostat,"https://www.google.com/maps?q=43.9069043,5.7267184",,France,FR,FRA,French Republic
France,France 36,Stellarium,"https://www.google.com/maps?q=43.5866734,1.4934828",,France,FR,FRA,French Republic
France,France 37,jardin astronomique,"https://www.google.com/maps?q=45.7777831,4.922422",,France,FR,FRA,French Republic
