"Name","Link","Description","Category"
"Culturespaces","https://www.culturespaces.com/en/","Europe’s leading private operator of immersive art centers and digital exhibitions, with 11 global sites and around 5 million annual visitors, pioneering experiences since 2012.","Venues"
"Daniel Canogar","https://www.danielcanogar.com/","Spanish artist using AR for memory and data visualization in installations.","Artists"
"Darren Aronofsky","https://darrenaronofsky.com/","American filmmaker and director known for creating Postcard from Earth, the first film premiered at the Las Vegas Sphere on October 6, 2023, utilizing its 18K LED display for immersive global experiences.","Artists"
"Dark Universe","https://www.darkuniverse.com/","Immersive land in Orlando, Florida, USA, within Epic Universe with monster-themed experiences.","Events"
"David Bowen","https://dwbowen.com/","American artist with kinetic and data-driven VR installations.","Artists"
"Decentraland","https://decentraland.org/","Blockchain-based immersive world with NFT ownership, virtual events, and metaverse engagement.","Technology"
"Deep Dream","https://deepdreamgenerator.com/","AI-based platform used to generate surreal, dreamlike visuals for immersive environments.","Technology"
"Delia Deetz’s Home from Beetlejuice Beetlejuice","https://www.airbnb.com/experiences/123456","Immersive Airbnb Icons experience in Hillsborough, New Jersey, USA, with movie-themed horror.","Events"
"DeoVR","https://deovr.com/","High-end VR video player supporting 180°/360° and stereoscopic 4K playback on major headsets.","Technology"
"Dinosaurs Fulldome","https://dinosaursfulldome.com/","Produces engaging and educational fulldome shows focused on the prehistoric world, delivering immersive journeys into the age of dinosaurs through 360° projection.","Events"
"Disney (ILMxLAB)","https://www.starwars.com/series/vader-immortal-a-star-wars-vr-series","Creator of immersive VR storytelling projects like Star Wars: Vader Immortal that blend cinematic and interactive VR experiences.","Agencies"
"Ditaran","https://ditaran.com/","Specializes in immersive event production and custom fulldome installations combining artistic expression with advanced tech.","Agencies"
"Dragon Ball Theme Park","https://qiddiya.com/en/dragon-ball-theme-park","Immersive theme park in Qiddiya, Saudi Arabia, based on the Dragon Ball anime.","Events"
"Draw & Code","https://www.drawandcode.com/","UK-based immersive content studio specializing in AR, VR, and interactive installations—creating experiential activations for brands, attractions, and cultural institutions.","Agencies"
"Dreamscape Immersive","https://www.dreamscapeimmersive.com/","Offers VR entertainment combining cinematic storytelling with immersive adventures in location-based centers.","Events"
"EPM Agency","https://www.epm.agency/","UK-based experiential and events agency producing immersive brand activations, live events, and interactive campaigns—blending creative design with technology to engage audiences.","Agencies"
"Elite Multimedia Productions","https://elitemultimedia.com/","US-based full-service event production company providing audio, lighting, video, and LED technology—creating immersive live experiences for concerts, corporate events, houses of worship, and large-scale special events.","Agencies"
"Eliza McNitt","https://www.elizamcnitt.com/","Known for the Spheres trilogy, blending scientific education and immersive art to guide cosmic VR journeys.","Artists"
"emc3","https://www.emc3.com/","Global creative agency producing immersive events, brand experiences, and conferences—integrating storytelling, cutting-edge event technology, and interactive design to engage audiences worldwide.","Agencies"
"Emad Mostaque","https://stability.ai/","CEO of Stability AI, driving AI innovations for creative and immersive industries.","Technology"
"Encore Event Technologies","https://www.encore-anzpac.com/","Asia-Pacific event production company delivering immersive corporate and public events through advanced AV technology, projection mapping, interactive staging, and creative content design.","Agencies"
"Engage","https://engagevr.io/","A VR education and training platform used in academic and corporate settings for immersive lessons and virtual presentations.","Technology"
"Entaniya","https://www.entaniya.co.jp/en/","Led by Masaki Okumura, specializing in fisheye lenses (e.g., Entaniya HAL 220) essential for sharp 360° capture in immersive media.","Technology"
"Epic Games (Unreal Engine)","https://www.epicgames.com/site/es-ES/home","Provider of Unreal Engine, a powerful real-time platform for developing immersive VR, AR, and game experiences.","Technology"
"Epic Universe","https://www.universalorlando.com/web/en/us/things-to-do/epic-universe","Theme park in Orlando, Florida, USA, with immersive lands like Dark Universe and Super Nintendo World.","Events"
"Es Devlin","https://esdevlin.com/","British stage designer using AR/VR for immersive concert and theater experiences.","Artists"
"European/Mediterranean Planetarium Association (EMPA)","https://uia.org/s/or/en/1100022425","Facilitates collaboration and innovation among Fulldome venues across Europe and the Mediterranean.","Associations"
"Evans & Sutherland","https://es.com/","Pioneer of digital planetarium systems and fulldome projection, offering Digistar systems and immersive planetarium tech.","Technology"
"FDDP (Foundation for the Development of Digital Planetariums)","https://www.fddb.org/author/t3admin/","Supports planetariums globally with resources for implementing digital projection systems and immersive content.","Associations"
"Fei-Fei Li","https://ai.stanford.edu/~feifeili/","Vision AI pioneer at Stanford AI Lab, contributing to immersive technology applications.","Technology"
"Felix Lajeunesse & Paul Raphaël","https://en.wikipedia.org/wiki/F%C3%A9lix_Lajeunesse","VR documentary pioneers behind Space Explorers and The People’s House, combining cinema and immersive storytelling.","Artists"
"Ferrari Museum","https://musei.ferrari.com/en/","Immersive museum in Modena, Italy, with Ferrari history and racing simulations.","Venues"
"FKB Studio","https://www.fkb.studio/","Creative production studio designing immersive events, interactive installations, and digital experiences—blending art, technology, and storytelling for brands, cultural institutions, and live audiences.","Agencies"
"Float4","https://www.float4.com/en/","Montreal-based experiential design studio (est. 2008) crafting immersive, interactive installations that blend art, tech, and architecture—renowned for projects like 'Opulence' at The Cosmopolitan Las Vegas.","Agencies"
"Flora & Fauna Visions","https://www.florafaunavisions.de/","Produces multimedia experiences for exhibitions and live events, delivering immersive visual storytelling for brands.","Agencies"
"FlyOver Canada","https://www.flyovercanada.com/","Immersive flight over Canadian landscapes in Vancouver, offering a flying theatre experience.","Events"
"Four Agency","https://www.four.agency/","UK-based creative communications agency producing immersive brand activations, experiential marketing campaigns, and live events that blend storytelling with design and technology.","Agencies"
"Freckled Sky","https://freckledsky.com/","Chicago-based mixed-reality studio, known for water projection and holographic installations featured on America’s Got Talent.","Artists"
"Front Pictures","https://frontpictures.com/","Develops LED triangle-based dome construction methods, making immersive domes more scalable and visually striking.","Technology"
"Fulldome Pro","https://fulldome.pro/","Supplies high-end immersive projection systems and scalable dome structures for fulldome theaters.","Technology"
"Fulldome Studio DN","https://fdsdn.com/Home","Produces original fulldome content blending science, art, and storytelling tailored for immersive dome environments.","Agencies"
"Future Colossal","https://www.futurecolossal.com/","New York-based innovation lab specializing in immersive installations, interactive experiences, and mixed reality—merging storytelling with emerging technologies for brands, museums, and public spaces.","Agencies"
"GDP Society of German-speaking Planetariums","https://planetarium100.org/gdp/","A network for German-language planetariums, facilitating collaboration and immersive content exchange in the region.","Associations"
"GL events","https://www.gl-events.com/en","Global player in the events industry providing integrated solutions across event organization, venue management, and services—active in over 20 countries with a portfolio spanning trade shows, cultural, sporting, and institutional events.","Agencies"
"Ghostly Manor","https://ghostlymanor.com/","Haunted immersive experience at Paultons Park, Hampshire, UK.","Events"
"GoPro","https://gopro.com/","Known for the GoPro Max and durable 360° cameras, widely used in VR and immersive content creation, especially in action sports.","Technology"
"Google","https://arvr.google.com/","Spearheading AR/VR adoption with tools like Google Lens and Cardboard, shaping the mainstream accessibility of immersive experiences.","Technology"
"Gradient Experience","https://www.gradientexperience.com/","New York-based experiential marketing agency crafting immersive brand activations that blend VR, AR, digital installations, and sensory storytelling with seamless logistics and measurable impact.","Agencies"
"Grok","https://x.ai/grok","AI developed by xAI, soon to feature real-time video rendering, enhancing immersive experiences.","Technology"
"Halbautohalbmaten","https://www.halbautomaten.studio/","Stuttgart-based design studio known for immersive, interactive experiences—creators of the Kinetarium real-time event platform.","Agencies"
"Hayoun Kwon","https://www.hayounkwon.com/","VR artist whose work The Guardians of Jade Mountain merges Chinese myth with virtual reality storytelling.","Artists"
"Hexagon Qatar","https://hexagonqatar.com/multimedia-shows/","Event production company in Doha creating large-scale multimedia shows with immersive projection, synchronized lighting, special effects, and custom content for corporate, cultural, and public events.","Agencies"
"Horizon Flight Simulator","https://horizonflightsim.co.uk/","Advanced flying theatre tech exhibit in the UK, offering immersive aerial simulations.","Events"
"Horizon Worlds","https://www.meta.com/horizon-worlds/","Meta’s social VR platform for building, exploring, and engaging in immersive virtual worlds.","Technology"
"House from Disney’s Up","https://www.airbnb.com/experiences/up-house","Immersive Airbnb Icons experience in Abiquiu, New Mexico, USA.","Events"
"HP (Reverb G2)","https://www.hp.com/gb-en/shop/offer.aspx?p=hp-reverb-g2-vr-headset","High-resolution professional VR headset favored in simulation, training, and enterprise deployments.","Technology"
"HTC (Vive)","https://www.htc.com/us/vive/","Major VR hardware provider; its headsets are widely used in gaming, education, and professional training.","Technology"
"Huntrezz Janos","https://huntrezzjanos.com/","Artist leveraging VR to create alternate realities addressing systemic issues.","Artists"
"Ian Cheng","https://iancheng.com/","American artist creating VR simulations with live simulations and AI, known for works like Emissaries.","Artists"
"Ian Goodfellow","https://goodfellow.ai/","Inventor of GANs, impacting immersive visuals with generative AI technologies.","Technology"
"Iannis Xenakis","https://www.iannis-xenakis.org/","Greek-French composer and architect known for immersive sound installations like 'Polytope de Montréal,' blending electronic music with spatial experiences.","Artists"
"Immersive Event Services","https://immersiveeventservices.com/","UK-based technical production company specializing in immersive event design, projection mapping, interactive technologies, and multi-sensory experiences for corporate, cultural, and entertainment clients.","Agencies"
"Immersive Garden","https://immersive-g.com/","Japan-based creative collective producing immersive art installations, projection mapping, and interactive experiences—combining cutting-edge technology with design to engage audiences in cultural and commercial spaces.","Agencies"
"Immersive International","https://www.immersive.international/","Global creative studio specializing in large-scale projection mapping, interactive media, and immersive installations—producing brand activations, public spectacles, and cultural experiences worldwide.","Agencies"
"Immersive Studio","https://immersivestudio.co.uk/","UK-based creative agency crafting VR, AR, and 360° experiences alongside interactive installations—designing immersive brand activations, training solutions, and live event content.","Agencies"
"Infinity des Lumières","https://infinitylumieres.com/","LED-based immersive art center in Dubai, UAE, with programs like 'Raise Vibration.'","Venues"
"Insta360","https://www.insta360.com/","Leader in 360° camera innovation, offering versatile, high-quality solutions for immersive productions.","Technology"
"International Planetarium Society (IPS)","https://www.ips-planetarium.org/","The world’s largest planetarium organization, promoting immersive and educational fulldome programming globally.","Associations"
"Jack Morton","https://jackmorton.com/","Global brand experience agency delivering live, virtual, and hybrid events, experiential marketing, and integrated campaigns—focused on creating emotionally engaging audience connections for leading brands worldwide.","Agencies"
"Jenny Holzer","https://jennyholzer.com/","American conceptual artist using AR to display text-based art in public spaces.","Artists"
"Jeppe Hein","https://jeppehein.net/","Danish artist creating interactive VR installations with mirrors and movement.","Artists"
"Jessica Brillhart","https://en.wikipedia.org/wiki/Jessica_Brillhart","VR filmmaker and former Google creative lead; her work Traverse explores how soundscapes and music shape virtual environments.","Artists"
"Jon Rafman","https://jonrafman.com/","Artist whose VR works (e.g., Transdimensional Serpent) delve into dystopian and digital landscapes of immersive worlds.","Artists"
"Julia Carrillo","https://juliancarrillo.com/","Mexican artist using VR for mathematical and geometric immersive art.","Artists"
"Julie Laffin","https://julielaffin.com/","American performance artist using VR for environmental and body-based art.","Artists"
"Juanita Onzaga","https://www.imdb.com/es/name/nm5958038/","Known for Floating with Spirits, a spiritual and immersive VR experience that reflects on life and memory.","Artists"
"KAWS","https://www.kawsone.com/","Street artist Brian Donnelly creating AR experiences with his iconic companion figures.","Artists"
"Kandao","https://www.kandao.com/","Manufacturer of the Obsidian 360° camera series, essential for ultra-high-resolution capture in VR and immersive media.","Technology"
"Keiichi Matsuda","http://km.cx/","Creator of Hyper-Reality, a VR exploration of augmented living and design in everyday environments.","Artists"
"Keisuke Itoh","https://keisukeitoh.com/","Mixed-reality pioneer known for the interactive installation Pudica, which blends digital and physical spatial experiences.","Artists"
"Kesch","https://kesch.com/","Switzerland-based live communication agency creating immersive brand experiences, corporate events, and incentive programs—combining creative concepts with advanced event technology and production.","Agencies"
"KINETIC LIGHTS","https://www.kinetic-lights.com/","Berlin-based specialist in kinetic lighting systems and large-scale 3D light installations, designing motor winch systems, light fixtures, and control software for art, stage, and event productions worldwide.","Technology"
"L-Acoustics","https://l-acoustics.com/","Provider of advanced audio solutions for immersive soundscapes in concerts and installations.","Technology"
"La Machine","https://www.la-machine.co.uk/","French company creating large-scale immersive street theatre with mechanical creatures, known for productions like 'The Sultan’s Elephant.'","Events"
"Lars Jan","https://larsjan.com/","Immersive theatre director known for works like Shakeup, blending live performance with VR elements.","Artists"
"Laurie Anderson","https://laurieanderson.com/","Artist behind Chalkroom, a VR environment filled with interactive words and drawings, continuing her innovation in immersive expression.","Artists"
"Layered Reality","https://www.layeredreality.com/","UK immersive-experience pioneer combining VR, projection mapping, volumetric holograms, live actors, multi-sensory effects, and film-quality sets for blockbuster experiences like 'Jeff Wayne’s The War of the Worlds.'","Agencies"
"Le Grand Tour","https://puydufou.com/en/le-grand-tour","Immersive rail tour in various locations in France by Puy du Fou with historical experiences.","Events"
"Lightstorm Entertainment","https://www.lightstorm.com/","Known for producing Avatar, pioneering immersive 3D and VR technologies in filmmaking.","Agencies"
"Liseberg","https://www.liseberg.com/en","Amusement park in Gothenburg, Sweden, with immersive horror experiments.","Venues"
"Living Lobe","https://livinglobe.com/","German-based studio specializing in 360° fulldome experiences, immersive projections, and interactive content for planetariums, museums, and live events worldwide.","Agencies"
"Loch Ness Productions","https://www.lochnessproductions.com/","Specializes in the production and distribution of fulldome content—scientific, educational, and entertaining shows for 360° projection, featured in planetariums around the world.","Agencies"
"Lotte World Tower","https://www.lotteworld.com/en/","Immersive observation deck in Seoul, South Korea, with VR-enhanced views.","Venues"
"Lovecraftian Horror Stays","https://lemon-difficult.com/","Horror-themed immersive overnight stays across various UK locations.","Events"
"Lucid Dreams Festival","https://www.lucid-dreams.co.uk/","Immersive music and art festival in the UK, featuring VR and interactive installations.","Events"
"Luma AR","https://www.luma-ar.com/","AR platform enabling immersive content creation for mobile and web applications.","Technology"
"Lynette Wallworth","https://lynettewallworth.com/","Director of Collisions, a VR documentary on the impact of nuclear testing on indigenous Australian communities—known for emotional and culturally resonant immersive storytelling.","Artists"
"MBS","https://mbspro.tv/","is a Poland-based company specializing in end-to-end audio, video, and broadcast solutions. They offer system design, installation, integration, and maintenance services across AV technologies — including LED displays, cameras, mixers, encoding/streaming, and virtual studio systems. They also supply both hardware and software from recognized global brands and support studios (from home setups to professional TV/radio stations) as well as live broadcasting venues and event spaces. Their business emphasizes tailored solutions, service, training, and high quality in each project.","Technology"
"MELT","https://www.bymelt.com/","Award-winning Warsaw-based immersive studio creating experiences at any scale—from VR adventures to pop-up museums, multimedia spectacles, art installations, theme-park attractions—known for rich audio-visual design and emotional engagement.","Agencies"
"Magenta Studio","https://www.topmediai.com/ai-music-generator/","Uses AI-driven Magenta tools to generate dynamic music and visuals for immersive worlds, enabling interactive, multisensory environments.","Technology"
"Magic Leap","https://www.magicleap.com/","Provides AR headsets that blend digital content with the real world for enterprise and creative spatial computing applications.","Technology"
"Mad About Video","https://www.madaboutvideo.eu/corporateeventsandmeetings","Portugal-based audiovisual production company delivering corporate events and meetings with immersive staging, large-format projection, LED walls, and dynamic content to enhance audience engagement.","Agencies"
"Marina Abramović","https://en.wikipedia.org/wiki/Marina_Abramovi%C4%87","Artist behind Rising, a VR work addressing climate change by using rising water levels metaphor in immersive performance art.","Artists"
"Martin Sambauer","http://dasintegral.eu","German media professional and creative director with 30 years of experience in corporate shows, immersive shows, and fulldome movies.","Artists"
"Madison Square Garden (MSG) Sphere","https://www.thesphere.com/","Groundbreaking immersive venue in Las Vegas with advanced large-scale projection and spatial audio systems creating unmatched sensory experiences.","Venues"
"Mel Chin","https://melchin.org/","American conceptual artist incorporating AR in installations dealing with environmental issues.","Artists"
"Memoir Agency","https://memoiragency.com/","UK-based experiential agency designing immersive brand experiences, live events, and interactive campaigns that combine creative storytelling with technology-driven engagement.","Agencies"
"Meta","https://about.meta.com/","Invests heavily in mainstream VR/AR evolution via Meta Quest devices and virtual worlds, positioning itself as a leading social and enterprise VR company.","Technology"
"MetaRick (Rick Treweek)","https://levfestival.com/en/actividades/rick-treweek-metarick-uncanny-alley-into-the-metaverse/","Creator of Uncanny Alley, a VR storytelling platform set in a dystopian cyberpunk world with interactive, rebellious elements.","Artists"
"Metaverse Festival","https://metaversefestivalprague.com/","A virtual event in Decentraland featuring immersive performances, art, and NFT-based interactions—combining entertainment with digital ownership.","Events"
"Microsoft (HoloLens)","https://www.microsoft.com/hololens","Developer of the HoloLens mixed-reality headset, widely used in industrial design, training, and architecture.","Technology"
"Meow Wolf","https://meowwolf.com/","Known for immersive, narrative-driven installations like House of Eternal Return and Omega Mart, combining art, story, and interaction.","Venues"
"Meow Wolf Grapevine","https://meowwolf.com/visit/grapevine","Top location-based immersive experience in Texas, USA, with narrative-driven installations.","Venues"
"Moment Factory","https://momentfactory.com/","Montreal-based multimedia studio specializing in creating immersive environments that blend video, lighting, architecture, sound, and interactivity—renowned for projects in entertainment, public spaces, and cultural destinations worldwide.","Agencies"
"Momentum Worldwide","https://www.momentumww.com/","Experiential marketing agency creating brand experiences that integrate sponsorship, entertainment, and technology—specializing in immersive activations for sports, music, and cultural events worldwide.","Agencies"
"Monet’s Garden","https://www.kunstkraftwerkleipzig.de/en/exhibition/monets-garden","Immersive exhibition in Leipzig, Germany, showcasing Monet’s works with digital projections.","Events"
"Mona Lisa’s Secret","https://www.monalisasgeheimnis.de/","VR journey into Leonardo’s works, exhibited in Frankfurt, Germany.","Events"
"Monoleak","https://monoleak.world/events/","Creative studio producing immersive events that fuse music, interactive visuals, and sensory design—crafting emotionally charged, multi-sensory experiences for audiences in unique spaces.","Agencies"
"Mojo Vision","https://www.mojo.vision/","Working on AR contact lenses, enabling hands-free, unobtrusive immersive content directly in the eye.","Technology"
"Musée d’Orsay Clock Room","https://www.airbnb.com/experiences/musee-dorsay","Immersive Airbnb Icons experience in Paris, France.","Events"
"Nam June Paik","https://www.namjunepaikartcenter.org/","Pioneering video artist known for immersive installations like 'TV Garden' and 'Sistine Chapel,' shaping the future of media art.","Artists"
"Nancy Baker Cahill","https://www.nancybakercahill.com/","American new media artist using AR for public art addressing social issues.","Artists"
"Neos VR","https://neos.com/","Flexible metaverse platform for constructing and sharing interactive virtual environments with real-time collaboration tools.","Technology"
"Neuralink","https://neuralink.com/","Developing brain-machine interfaces with potential for frictionless immersive interaction but also raising ethical issues.","Technology"
"Netflix Bites","https://www.netflix.com/","Pop-up restaurant in Los Angeles, USA, with immersive themed food experiences based on Netflix IPs.","Events"
"Netflix House","https://netflixhouse.com/","Permanent immersive venues in Texas and Pennsylvania, USA, for Netflix IPs.","Venues"
"Nickelodeon Hotel","https://www.nickelodeonhotels.com/","Themed hotel in Antalya, Turkey, at Land of Legends.","Venues"
"Nikon","https://www.nikon.com/","Its Z8 camera was ranked second in Fulldome tests by Softmachine Immersive Productions (2023), ideal for high-performance immersive media capture.","Technology"
"Nonny de la Peña","https://en.wikipedia.org/wiki/Nonny_de_la_Pe%C3%B1a","Called the 'Godmother of VR,' pioneer in immersive journalism with works like Hunger in Los Angeles using VR for social storytelling.","Artists"
"Noitom","https://www.noitom.com/","Specializes in motion-capture systems widely used in VR production and immersive environments to capture realistic human movement.","Technology"
"Nintendo Museum","https://museum.nintendo.com/","Immersive company history exhibit in Kyoto, Japan, with interactive experiences.","Venues"
"Nova Event","https://nova-event.com/","French event production company creating immersive experiences through multimedia shows, laser displays, projection mapping, and special effects for corporate, cultural, and public celebrations.","Agencies"
"NVIDIA","https://www.nvidia.com/","Powers immersive media with GPUs that enable real-time rendering of VR/AR graphics.","Technology"
"Oculus","https://www.oculus.com/","Developer of VR headsets like the Quest, driving mainstream immersive experiences.","Technology"
"Oculus Story Studio","https://www.oculus.com/story-studio/","Pioneers in VR storytelling, known for works like Henry, enhancing narrative immersion.","Agencies"
"OceanX","https://oceanx.org/","Produces immersive ocean exploration content using advanced filming technology for educational and entertainment purposes.","Agencies"
"Odeon Cinemas","https://www.odeon.co.uk/","UK cinema chain offering immersive cinema experiences with advanced audio-visual technology.","Venues"
"Ogilvy","https://www.ogilvy.com/","Global marketing agency offering immersive marketing solutions, including AR/VR campaigns and experiential events.","Agencies"
"Omnispace 360","https://omnispace360.com/","Specializes in fulldome content production, creating immersive 360° experiences for planetariums and exhibitions.","Agencies"
"OpenAI Team","https://openai.com/","Collective behind GPT models, contributing to AI-driven immersive narratives and interactions.","Technology"
"Opera Garnier","https://www.opera-paris.com/en/visits/garnier-opera","Historic opera house in Paris, France, featuring immersive performances with modern technology.","Venues"
"Orbit Show","https://www.orbits.show/","Immersive space-themed event series showcasing VR and AR space exploration.","Events"
"Outernet London","https://outernetlondon.com/","Immersive digital art space in London, UK, with large-scale LED displays.","Venues"
"Ovation Data","https://ovationdata.com/","Offers immersive data visualization solutions for corporate and educational use.","Technology"
"Pace Gallery","https://pacegallery.com/","Global art gallery network showcasing immersive exhibitions with digital and VR art experiences.","Venues"
"Pano2VR","https://panotools.org/","Software for creating interactive 360° VR tours and immersive virtual environments.","Technology"
"Panos Panay","https://en.wikipedia.org/wiki/Panos_Panay","Former Microsoft hardware lead, instrumental in developing immersive devices like Surface and HoloLens.","Technology"
"Paramount","https://www.paramount.com/","Entertainment company with immersive studios and experiences tied to its film franchises.","Agencies"
"Parc Asterix","https://www.parcasterix.fr/","Immersive theme park in France with interactive shows and experiences based on the Asterix series.","Venues"
"Patrick Watson","https://patrickwatson.net/","Canadian musician and VR music pioneer, creating immersive audio-visual performances.","Artists"
